▁i ▁was ▁in ▁ago n y ▁.	▁我 在 快 苦 ▁。 在 在 在 在 在 在 在 在 在 在
▁we ▁will ▁co op er ate ▁.	▁我們 會 合作 合作 ▁。 合作 合作 合作 合作 合作 合作 合作 合作 合作 合作
▁that ' s ▁a ▁my th ▁.	▁這是 我的 神 之 ▁。 的 的 的 的 的 的 的 的 的 的 的
▁that ' s ▁my ▁da d ▁.	▁這是 我的 爸 的 爸 爸 爸 爸 爸 爸 爸 爸 爸 爸 爸
▁the ▁p il ot ▁is ▁good ▁.	▁ 的 棒 ▁。 了 了 了 了 了 了 了 了 了 了 了
▁this ▁is ▁a ▁b ir d ▁.	▁這是 鳥 鳥 類 鳥 鳥 鳥 鳥 鳥 鳥 鳥 鳥 鳥 鳥 鳥
▁but ▁there ' s ▁another ▁thing ▁.	▁但 另一個
▁let ▁me ▁show ▁that ▁to ▁you ▁.	▁ 讓我 讓我 一下 讓我 讓我 讓我 讓我 讓我 讓我 讓我 讓我 讓我 讓我 讓我
▁i ▁fail ed ▁to ▁do ▁this ▁.	▁我 失 敗 了 這個 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。
▁" ▁ sh h h ▁. ▁"	▁「 ▁ h ▁! ▁ ▁" ▁" ▁" ▁" ▁" ▁" ▁" ▁" ▁" ▁" ▁"
▁what ▁can ▁you ▁tell ▁about ▁him ▁?	▁你 能 告訴 他 他 ▁? ▁? 題 ▁? ▁? 些 ▁? ▁? ▁? ▁?
▁but ▁you ▁know ▁what ▁they ▁did ▁?	▁但 你 知道 他們 做了 什麼 ▁? ▁? 做了 做 什麼 藏 ▁? 的
▁and ▁then ▁she ▁cl ar ified ▁.	▁然後 後來 她 很 清 ▁。 ▁。 ▁ ▁。 ▁? 她 她 她
▁every ▁day ▁our ▁women ▁would ▁come ▁.	▁ 每天 我們 ▁我們 的 女人 會 會 來 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。
▁no ▁other ▁species ▁has ▁done ▁that ▁.	▁ 沒有 其他 物種 的 以 完成 的 ▁。 作 例 ▁。 ▁。 ▁。 ▁。
▁just ▁look ▁what ▁they ▁have ▁done ▁.	▁ 只 他們 做了 點 部分 做 做到 ▁。 的 ▁。
▁and ▁that ▁was ▁only ▁the ▁beginning ▁.	▁ 只有 開 只 的 ▁。 才 是 是 開始 ▁。 的 的 的 的
▁and ▁da is ie ▁was ▁born ▁.	▁ is s s 生 是 是 生 生 了 ▁。 了 了 了 了
▁government ▁is ▁the ▁problem ▁in ▁africa ▁.	▁ 非洲 的問題 ▁ 政府 的問題 問題 現 問題 ▁。 問題 問題 問題 問題 問題
▁she ' s ▁eat ing ▁him ▁.	▁她 吃 吃 螂 蝦 吃 飯 ▁。 ▁。
▁we ▁ s av or ▁life ▁.	▁我們 最 味 過 的 最 喜歡 生命 賞 ▁。 的 的 的 的 的 的
▁but ▁here ' s ▁the ▁deal ▁.	▁但 問題 話 這 即 意 處理 立 流
▁it ' s ▁time ▁to ▁stop ▁.	▁ 時間 停 ▁。 ▁ 停 停 止 ▁。 停 停 停 停 停 停
▁so ▁, ▁why ▁to u ch ▁?	▁那麼 ▁, ▁為什麼 要 觸 ▁? 摸 ▁? ▁? ▁? ▁? ▁? ▁? ▁? ▁?
▁" ▁do ▁your ▁parents ▁know ▁? ▁"	▁「 ▁你 父母 的 爸 媽 嗎 ▁? ▁」 父母 父母 父母 父母 父母 父母
▁i ▁gre w ▁up ▁in ▁wonder ▁.	▁我 在 想 奇 的 長 大 ▁。 的 的 的 的 的 的 的
▁how ▁do ▁we ▁create ▁public ▁space ▁?	▁我們 如何 何 我們 創造 公 開 空間 ▁? ▁? ▁? ▁? ▁? ▁? ▁?
▁well ▁which ▁one ▁should ▁i ▁use ▁?	▁我 ▁ ▁ 該 用 我 個 ▁? ▁? ▁? ▁? ▁? ▁? ▁? ▁?
▁thank ▁you ▁for ▁ having ▁me ▁.	▁謝謝 感謝 感謝 謝 ▁。 有 ▁。 我 ▁。 ▁, ▁, ▁, ▁, ▁, ▁,
▁which ▁they ▁did ... ▁at ▁first ▁.	▁他們 在 在 了 ▁。 開始 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。
▁and ▁then ▁i ▁started ▁another ▁company ▁.	▁然後 我 開始 開始 了 另一個 家 公司 ▁。 了 了 了 了 了 了
▁can ▁you ▁wonder ▁even ▁about ▁them ▁?	▁你 能 想 認 他們 嗎 奇 奇 嗎 嗎 嗎 嗎 嗎 嗎 嗎
▁and ▁there ' s ▁the ▁environment ▁.	▁ 環境 生 環境 環境 ▁。 環境 慮
▁and ▁they ▁share d ▁similar ▁stories ▁.	▁他們 他們 分享 分享 了 同樣的 故事 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。
▁why ▁this ▁c ri s is ▁?	▁為什麼 為 何 ▁? 危 危 機 ▁? ▁? ▁? ▁? ▁? ▁? ▁? ▁?
▁what ▁are ▁do g s ▁like ▁?	▁ 是什麼 是什麼 什麼 ▁? 怎樣 理 的 的 的 的 的 的 的 的
▁one ▁idea ▁is ▁act ive ▁learning ▁.	▁ 一個 一個 就是 動 動 學習 ▁。 是 是 是 是 是 是 是
▁ 80 0 ▁ha t ch ▁.	▁ 80 0 個 哈 ▁。 了 ▁。 棲 棲 棲 棲 棲 棲 棲 棲
▁that ▁ma th ▁actually ▁work s ▁?	▁那 數學 真的 是 ▁? 嗎 嗎 ▁? ▁? ▁? ▁? ▁? ▁? ▁? ▁?
▁but ▁what ▁does ▁that ▁really ▁mean ▁?	▁但 這 真的 意義 意義 是什麼 意思 意思 意思 意思 意思 意思 意思 意思 意思
▁do ▁another ▁three ▁hours ' ▁work ▁.	▁ 另一個 一個 做 三 小時 ▁, ▁, ▁, ▁, ▁, ▁, ▁, ▁,
▁that ▁would ▁be ▁f ri ction ▁.	▁那 會 會 女性 擦 力 的 了 了 了 了 了 了 了 了
▁and ▁this ▁, ▁and ▁then ▁this ▁.	▁這 接下來 來 ▁, 這個 ▁。 來 ▁。
▁gu t s ▁and ▁brain ▁matter ▁.	▁ 猜 猜 大腦 部 腦 ▁。 重要 重要 重要 重要 重要 重要 重要 重要
▁right ▁, ▁a z u ri ▁?	▁對吧 ▁? z 茲 母 ▁? 是 是 是 是 是 是 是 是
▁but ▁some ▁of ▁it ▁was ▁money ▁.	▁但 有些 錢 錢 ▁。 是 錢 ▁。
▁this ▁ led ▁me ▁to ▁blood ▁.	▁這 我 到 血 液 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。 ▁。
▁because ▁the ▁light s ▁on ▁here ▁.	▁因為 燈 泡 燈 的 光 燈 燈 燈 燈 燈 燈 燈 燈 燈
▁you ▁can ▁come ▁back ▁to ▁earth ▁.	▁你可以 可以 地球 ▁ 地球 ▁」 ▁ ▁」 ▁」 ▁」 ▁」 ▁」 ▁」 ▁」 ▁」 ▁」
▁so ▁any way ▁here ▁it ▁is ▁.	▁ ▁, 就是 的
▁we ▁can ' t ▁imagine ▁it ▁.	▁我們 想像 不能 想像 它 ▁。 ▁。
▁ba : ▁it ' s ▁interesting ▁.	▁ : 很 很 有 趣 ▁。 ▁, ▁, ▁, ▁, ▁, ▁, ▁, ▁, ▁,
▁it ' s ▁a ▁special ▁feeling ▁.	▁這是 感覺 特別 特 的 感覺 ▁。
